JournalCode,JournalLib,EcritureNum,EcritureDate,CompteNum,CompteLib,CompAuxNum,CompAuxLib,PieceRef,PieceDate,EcritureLib,Debit,Credit,EcritureLet,DateLet,ValidDate,Montantdevise,Idevise,DateRglt,ModeRglt,NatOp,IdClient
AN,A-NOUVEAU,AN0000001,20190101,10130000,Lib_1,,,1,20190101,Ecriture_1,"0,00","1000,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,10611000,Lib_2,,,1,20190101,Ecriture_2,"0,00","100,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,10680000,Lib_3,,,1,20190101,Ecriture_3,"0,00","14147,06",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,16400000,Lib_4,,,1,20190101,Ecriture_4,"0,00","90399,82",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,16410000,Lib_4,,,1,20190101,Ecriture_4,"0,00","100000,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,21810000,Lib_5,,,1,20190101,Ecriture_5,"433,33","0,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,21830000,Lib_6,,,1,20190101,Ecriture_6,"8676,65","0,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,21840000,Lib_7,,,1,20190101,Ecriture_7,"2164,68","0,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,27500000,Lib_8,,,1,20190101,Ecriture_8,"5500,00","0,00",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,28181000,Lib_9,,,1,20190101,Ecriture_9,"0,00","61,26",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,28183000,Lib_10,,,1,20190101,Ecriture_10,"0,00","4488,85",,,20200403,,EUR,,,,
AN,A-NOUVEAU,AN0000001,20190101,28184000,Lib_11,,,1,20190101,Ecriture_11,"0,00","263,79",,,20200403,,EUR,,,,
